,characteristics,cell line,cell type,treatment,time point,strain
GSM4432378,Mock treated NHBE cells,NHBE,primary human bronchial epithelial cells,Mock treatment,24hrs after treatment,NA
GSM4432379,Mock treated NHBE cells,NHBE,primary human bronchial epithelial cells,Mock treatment,24hrs after treatment,NA
GSM4432380,Mock treated NHBE cells,NHBE,primary human bronchial epithelial cells,Mock treatment,24hrs after treatment,NA
GSM4432381,SARS-CoV-2 infected NHBE cells,NHBE,primary human bronchial epithelial cells,SARS-CoV-2 infected (MOI 2),NA,USA-WA1/2020
GSM4432382,SARS-CoV-2 infected NHBE cells,NHBE,primary human bronchial epithelial cells,SARS-CoV-2 infected (MOI 2),NA,USA-WA1/2020
GSM4432383,SARS-CoV-2 infected NHBE cells,NHBE,primary human bronchial epithelial cells,SARS-CoV-2 infected (MOI 2),NA,USA-WA1/2020
GSM4432384,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,24hrs after treatment,NA
GSM4432385,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,24hrs after treatment,NA
GSM4432386,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,24hrs after treatment,NA
GSM4432387,SARS-CoV-2 infected A549 cells,A549,Lung adenocarcinoma,SARS-CoV-2 infected (MOI 0.2),NA,USA-WA1/2020
GSM4432388,SARS-CoV-2 infected A549 cells,A549,Lung adenocarcinoma,SARS-CoV-2 infected (MOI 0.2),NA,USA-WA1/2020
GSM4432389,SARS-CoV-2 infected A549 cells,A549,Lung adenocarcinoma,SARS-CoV-2 infected (MOI 0.2),NA,USA-WA1/2020
GSM4432390,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,24hrs after treatment,NA
GSM4432391,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,24hrs after treatment,NA
GSM4432392,RSV infected A549 cells,A549,Lung adenocarcinoma,RSV infected (MOI 15),NA,A2
GSM4432393,RSV infected A549 cells,A549,Lung adenocarcinoma,RSV infected (MOI 15),NA,A2
GSM4432394,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,9hrs after treatment,NA
GSM4432395,Mock treated A549 cells,A549,Lung adenocarcinoma,Mock treatment,9hrs after treatment,NA
GSM4432396,IAV infected A549 cells,A549,Lung adenocarcinoma,IAV infected (MOI 5),NA,A/Puerto Rico/8/1934 (H1N1)
