"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"1","FOS",5.710680123,7.365862623,7.250845751,5.24e-05,0.020461026,2.161122045
"2","FOSB",5.55584296,6.864706835,5.766133534,0.000288027,0.047539466,0.71443807
"3","METTL7B",-6.733903908,0.79386336,-5.672269332,0.000323812,0.049582294,0.234686801
"4","C9orf66",-6.684892312,1.341256569,-5.697214813,0.000313853,0.04864339,0.263693059
"5","HSH2D",-5.234644065,4.822549143,-5.701029219,0.00031236,0.04864339,0.561825716
"6","TRIM38",-4.562907082,7.240401406,-5.709136527,0.000309211,0.04864339,0.670794929
"7","MARCKS",-4.813632001,9.149643322,-5.742559203,0.000296591,0.047713685,0.766882807
"8","CD37",-5.03657465,7.302351116,-5.744392928,0.000295915,0.047713685,0.71149495
"9","CLEC4A",-5.0577045,5.390796771,-5.782031346,0.000282404,0.04722461,0.696869119
"10","KCNJ2-AS1",-6.463057258,3.269855591,-5.830479451,0.00026599,0.045072923,0.505090604
"11","CLC",-6.766705872,2.505722219,-5.837043402,0.000263847,0.045072923,0.457612332
"12","S100A8",-6.301892317,10.32815353,-5.837697124,0.000263635,0.0451,0.882
"13","TREML3P",-6.441831289,2.833766389,-5.848914123,0.00026002,0.045072923,0.490388465
"14","TNFSF13B",-6.795902227,5.41832823,-5.872030769,0.000252738,0.045072923,0.790059874
"15","CD53",-4.980123395,8.407154393,-5.913564597,0.000240207,0.043611207,0.943434225
"16","HERC5",-5.657066422,5.895184168,-5.924094628,0.000237138,0.043611207,0.84761137
"17","IFI44L",-5.312658277,7.467428165,-5.935807833,0.000233775,0.0436,0.923034185
"18","WAS",-5.692686046,5.387538172,-5.941831458,0.000232065,0.043611207,0.859659978
"19","GCH1",-4.81100803,8.144312293,-6.007219238,0.000214361,0.041277395,1.033686918
"20","HESX1",-7.102411517,1.889784059,-6.034615389,0.000207385,0.040548488,0.584124232
"21","RHOH",-6.337119977,6.10065778,-6.034866796,0.000207322,0.040548488,0.959964314
"22","GPR141",-7.577799466,1.272113955,-6.045945402,0.000204572,0.040548488,0.558174585
"23","TREM1",-4.744264376,7.528713002,-6.069856549,0.000198772,0.040548488,1.06606543
"24","SAMD9",-6.165846354,6.621607503,-6.105678214,0.000190416,0.039672131,1.049933494
"25","APOBEC3A",-8.257096348,5.276561861,-6.119703897,0.000187249,0.039662538,1.029446295
"26","NBN",-5.057213092,7.226726034,-6.129793199,0.000185007,0.039662538,1.110234872
"27","GAPT",-7.392821923,4.035584762,-6.159744808,0.00017852,0.039117454,0.868062542
"28","LCP1",-4.268524412,9.27897462,-6.167508607,0.000176879,0.039117454,1.237149816
"29","S100A12",-8.49385587,7.732706087,-6.269617507,0.000156765,0.035577368,1.282522003
"30","TPSB2",-5.478012278,7.686921334,-6.295382719,0.000152094,0.035144756,1.305382659
"31","LY96",-6.425755381,6.290623876,-6.323071322,0.000147242,0.034653755,1.245198098
