"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"1","FOS",5.710680123,7.365862623,7.250845751,5.24e-05,0.020461026,2.161122045
"2","FOSB",5.55584296,6.864706835,5.766133534,0.000288027,0.047539466,0.71443807
"3","RRAD",7.333518967,4.480544784,5.536452023,0.000384421,0.056156335,0.34681929
"4","ACVRL1",4.85854388,5.257404474,5.47741162,0.000414516,0.057261799,0.368834348
"5","TUBB4B",4.769742436,5.775257401,5.454644041,0.000426797,0.057699308,0.353565997
"6","SMTN",6.2466229,4.044561962,5.103202688,0.000676011,0.071,-0.155263627
"7","RASSF1",5.290414618,4.395117601,4.937018288,0.000845403,0.081395685,-0.303233814
"8","NDST1",5.10024917,4.313752425,4.806554696,0.001010452,0.088564338,-0.457648752
"9","CYTH1",4.288087362,4.97083763,4.784658696,0.001041405,0.088880446,-0.434729081
"10","PHLDB1",6.080299518,3.987734236,4.754291389,0.001086035,0.090813369,-0.541706787
"11","UPP1",4.865289825,6.520858499,4.719170983,0.001140231,0.094098699,-0.494002564
"12","PLXNA2",5.839879538,3.867467373,4.709441411,0.001155755,0.094420159,-0.599123165
"13","JUN",3.780890076,7.609524202,4.697590102,0.001174972,0.094510886,-0.508999317
"14","C6orf106",4.190550846,4.917313069,4.635793824,0.001280899,0.096898479,-0.616405047
"15","C12orf57",4.273077169,4.967664801,4.617856973,0.001313533,0.098067875,-0.635899145
"16","S100A13",5.839837344,3.879941145,4.604536181,0.001338347,0.098318219,-0.717878039
"17","CCNL2",5.351785592,5.252724431,4.55048648,0.001444316,0.101976699,-0.710438951
"18","TCF25",5.661178061,3.798294587,4.466084468,0.001628206,0.110657038,-0.881622366
"19","ITPKC",4.334987497,5.722866222,4.420484859,0.001737865,0.114437948,-0.871814949
"20","DOCK6",5.659008899,3.800334256,4.374234378,0.001857209,0.121042394,-0.98992809
"21","EGR1",3.233024859,8.419760336,4.358083396,0.001900926,0.122598391,-0.95979332
"22","RPL3",3.0199253,9.532693734,4.350779218,0.001921057,0.122598391,-0.981473057
"23","NES",4.372351447,4.641290735,4.34435113,0.001938963,0.122598391,-0.987379386
"24","SPHK1",4.779024634,4.539657959,4.272097682,0.002152961,0.125566483,-1.081810571
"25","ARRDC2",5.889664444,3.911284622,4.267953819,0.002165976,0.125566483,-1.113847524
"26","GAK",5.349686534,3.651552877,4.265530089,0.002173627,0.125566483,-1.124062526
"27","GNL1",3.740327364,5.174443204,4.246498268,0.002234721,0.127757907,-1.098401522
"28","CDC37",3.553755413,6.630048152,4.246125196,0.002235937,0.127757907,-1.096273942
"29","CCT8",4.226101826,5.361832714,4.205484445,0.002372699,0.131590215,-1.150777368
"30","PRELID1",5.219330671,3.585425567,4.173912549,0.002485096,0.13554971,-1.236574079
"31","RALGDS",4.222738139,4.777894833,4.152700991,0.002563789,0.135799214,-1.226062531
"32","ITPKB",4.214565215,4.545398012,4.141292661,0.002607208,0.135799214,-1.246859028
